POSSESSED,GPTaku_4,SEER,UECIL_1,VILLAGER,agent3h,VILLAGER,satozaki5,WEREWOLF,kanolab2
POSSESSED,UECIL_1,SEER,GPTaku_4,VILLAGER,kanolab2,VILLAGER,satozaki5,WEREWOLF,agent3h
POSSESSED,GPTaku_5,SEER,agent5h,VILLAGER,kanolab2,VILLAGER,satozaki5,WEREWOLF,UECIL_1
POSSESSED,UECIL_1,SEER,satozaki1,VILLAGER,agent1h,VILLAGER,kanolab1,WEREWOLF,GPTaku_1
POSSESSED,kanolab3,SEER,GPTaku_2,VILLAGER,UECIL_1,VILLAGER,satozaki2,WEREWOLF,agent2h
POSSESSED,GPTaku_3,SEER,UECIL_2,VILLAGER,agent3h,VILLAGER,kanolab4,WEREWOLF,satozaki2
POSSESSED,UECIL_2,SEER,GPTaku_4,VILLAGER,agent4h,VILLAGER,kanolab4,WEREWOLF,satozaki3
POSSESSED,agent4h,SEER,GPTaku_5,VILLAGER,UECIL_3,VILLAGER,satozaki4,WEREWOLF,kanolab5
POSSESSED,satozaki1,SEER,kanolab2,VILLAGER,UECIL_3,VILLAGER,agent1h,WEREWOLF,GPTaku_2
POSSESSED,kanolab2,SEER,agent1h,VILLAGER,GPTaku_2,VILLAGER,UECIL_3,WEREWOLF,satozaki1
POSSESSED,agent1h,SEER,GPTaku_2,VILLAGER,UECIL_3,VILLAGER,kanolab2,WEREWOLF,satozaki1
POSSESSED,kanolab1,SEER,satozaki1,VILLAGER,GPTaku_2,VILLAGER,agent1h,WEREWOLF,UECIL_3
POSSESSED,satozaki1,SEER,GPTaku_2,VILLAGER,UECIL_3,VILLAGER,agent1h,WEREWOLF,kanolab1
POSSESSED,kanolab1,SEER,GPTaku_2,VILLAGER,UECIL_3,VILLAGER,satozaki1,WEREWOLF,agent1h
POSSESSED,GPTaku_2,SEER,agent1h,VILLAGER,UECIL_3,VILLAGER,kanolab1,WEREWOLF,satozaki1
POSSESSED,kanolab1,SEER,satozaki1,VILLAGER,UECIL_3,VILLAGER,agent1h,WEREWOLF,GPTaku_2
POSSESSED,GPTaku_2,SEER,satozaki1,VILLAGER,UECIL_3,VILLAGER,kanolab1,WEREWOLF,agent1h
POSSESSED,agent1h,SEER,UECIL_3,VILLAGER,GPTaku_2,VILLAGER,kanolab1,WEREWOLF,satozaki1
POSSESSED,UECIL_3,SEER,agent1h,VILLAGER,GPTaku_2,VILLAGER,kanolab1,WEREWOLF,satozaki1
POSSESSED,kanolab1,SEER,GPTaku_2,VILLAGER,agent1h,VILLAGER,satozaki1,WEREWOLF,UECIL_3
POSSESSED,agent1h,SEER,satozaki1,VILLAGER,UECIL_3,VILLAGER,kanolab1,WEREWOLF,GPTaku_2
POSSESSED,UECIL_3,SEER,kanolab1,VILLAGER,agent1h,VILLAGER,satozaki1,WEREWOLF,GPTaku_2
POSSESSED,satozaki1,SEER,agent1h,VILLAGER,GPTaku_2,VILLAGER,UECIL_3,WEREWOLF,kanolab1
POSSESSED,agent1h,SEER,satozaki1,VILLAGER,GPTaku_2,VILLAGER,UECIL_3,WEREWOLF,kanolab1
POSSESSED,satozaki1,SEER,kanolab1,VILLAGER,GPTaku_2,VILLAGER,agent1h,WEREWOLF,UECIL_3
POSSESSED,satozaki1,SEER,UECIL_3,VILLAGER,agent1h,VILLAGER,kanolab1,WEREWOLF,GPTaku_2
